-	/fruits	/fruits/shape	/fruits/texture	/fruits/position	/fruits/hairs	/fruits/colour	/fruits/apex	/fruits/apex/shape	/fruits/apex/texture	/fruits/apex/position	/fruits/apex/hairs	/fruits/dimensions (merged)	/fruits/dimensions (merged)/texture	/fruits/stigma	/fruits/stigma/shape	/fruits/stigma/hairs	/fruits/stigma/growth form	/habit	/habit/texture	/habit/hairs	/habit/growth form	/habit/height	/inflorescences	/inflorescences/shape	/inflorescences/position	/inflorescences/colour	/inflorescences/floral bracts	/inflorescences/floral bracts/shape	/inflorescences/floral bracts/margin type	/inflorescences/floral bracts/hairs	/inflorescences/floral bracts/colour	/inflorescences/growth form	/inflorescences/growth form/growth form	/inflorescences/peduncle	/inflorescences/peduncle/shape	/inflorescences/peduncle/hairs	/inflorescences/peduncle/colour	/inflorescences/peduncle/length	/inflorescences/position	/inflorescences/position/position	/inflorescences/position/colour	/inflorescences/rachises	/inflorescences/rachises/hairs	/inflorescences/rachises/colour	/inflorescences/spikes	/inflorescences/spikes/shape	/inflorescences/spikes/growth form	/inflorescences/spikes/colour	/inflorescences/spikes/length	/infructescences	/infructescences/growth form	/infructescences/colour	/infructescences/dimensions (merged)	/infructescences/dimensions (merged)/texture	/internodes	/internodes/hairs	/internodes/colour	/leaves	/leaves/blade	/leaves/blade/shape	/leaves/blade/texture	/leaves/blade/hairs	/leaves/blade/colour	/leaves/blade/apex	/leaves/blade/apex/shape	/leaves/blade/apex/hairs	/leaves/blade/base	/leaves/blade/base/shape	/leaves/blade/base/hairs	/leaves/blade/base/growth form	/leaves/blade/base/colour	/leaves/blade/base/differential distance	/leaves/blade/dimensions	/leaves/blade/dimensions/growth form	/leaves/blade/margins	/leaves/blade/margins/shape	/leaves/blade/shape	/leaves/blade/shape/shape	/leaves/blade/texture	/leaves/blade/texture/texture	/leaves/petiole	/leaves/petiole/texture	/leaves/petiole/position	/leaves/petiole/length	/leaves/veins	/stems	/stems/length	/habitat	/habitat/altitude			
Piper duckei 	Fruits obpyramidate-trigonous,      	0	0	0	0	0	apex depressed, glandular, pubescent, 	0	0	0	386	0	0	3	4552	0	0	Shrub 	0	0	0	1.5	-	0	0	0	floral bracts densely marginally fringed. 	0	0	0	0	43	43	peduncle |, crisp-pubescent; 	0	386	0	15.0	0	0	0	-	0	0	spike |, pink, apiculate; 	616	0	1563	160	-	0	0	0	0	0	0	0	0	blade drying glossy above, |, not conspicuously glandular-dotted, |, 	0	0	0	0	apex (long) acuminate, 	124	0	base equal or unequally attached to petiole difference |, rounded or cordulate, one side may be subacute, glabrous above, hirsute below, veins densely so; 	6274	71	0	0	0.5	21	0	0	0	739	739	508	508	Petiole |, hirsute, broadly vaginate or winged to apex; 	0	0	12.0	8	Stem densely hirsute. 	0	dense forest on brown sand, 	240000			
Piper dumosum 	Fruits obovoid to trigonous, glabrous, depressed at apex when dried,      	5290	0	0	71	0	-	0	0	0	0	0	0	3	0	0	43	Shrub or treelet 	0	0	0	3	-	0	0	0	floral bracts densely marginally fringed. 	0	0	0	0	106	106	peduncle |, slender, glabrous, green to reddish; 	0	71	782	12.0	0	0	0	-	0	0	spike |, white, yellowish to green, not apiculate; 	616	0	2415	80	-	0	0	0	0	0	0	0	0	blade |, glandular-dotted, |, 	0	0	0	0	apex short-acuminate, 	124	0	base equal or almost equally attached to petiole, acute, truncate to subcordate, sparsely villous above, more densely so below; 	247	596	0	0	0	7.5	0	0	0	5167	0	1	1	20	0	0	1	6	Stem glabrous, densely dark glandular-dotted. 	0	mainly from dense forest, or swampy places, 	700000			
Piper eucalyptifolium 	Fruits depressed globose, glabrous,      	4306	0	0	71	0	-	0	0	0	0	0	0	3	0	0	0	Shrub or treelet |, glabrous except for subnodal lines of hairs on stem. 	0	71	0	2	-	0	0	0	floral bracts cucullate, inflexed, glabrous. 	2215	0	71	0	43	43	peduncle |, glabrescent; 	0	71	0	5.0	0	0	0	-	0	0	spike |, apiculate; 	616	0	0	30	-	0	0	0	0	0	0	0	0	blade |, not conspicuously glandular-dotted, dark green above, pale below, |, 	0	0	0	782	apex long-acuminate, 	124	0	base almost equal, acute, glabrous; 	247	71	0	0	0	16	0	0	0	0	0	508	508	Petiole |, ciliate, vaginate to apex; 	0	0	7.0	15	0	0	in dense forest understorey, 	639000			
Piper fanshawei 	Fruits obovoid, puberulent at depressed apex,      	5290	0	0	351	0	-	0	0	0	0	0	0	stigmas sessile.	0	0	0	Small shrub 	0	0	0	2	-	0	0	0	floral bracts dorsally fringed, crowded. 	0	0	0	0	43	43	peduncle filiform, 	3322	0	0	15.0	0	0	0	-	0	0	spike |, apiculate; 	616	0	0	20	-	0	0	0	0	0	0	0	0	blade |, not glandular- but finely pellucid-dotted, 	0	0	0	0	apex acuminate, 	124	0	base equal or unequally attached to petiole difference |, acute, glabrous; 	247	71	0	0	0.2	4.5	0	margin not ciliate,       	0	4798	0	508	508	Petiole |, glabrous, vaginate below middle; 	0	0	20	6	Stem glabrous. 	0	-	1500000			
Piper flexuosum 	Fruits depressed globose or ovoid, glabrous,      	4306	0	0	71	0	-	0	0	0	0	0	0	stigmas sessile.	0	0	0	Shrub to 2? m tall. 	0	0	0	0	-	0	0	0	floral bracts densely marginally fringed. 	0	0	0	0	43	43	peduncle |, crisp-pubescent; 	0	386	0	5.0	0	0	0	-	0	0	spike |, apiculate; 	616	0	0	60	-	0	0	0	0	0	0	0	0	blade |, glandular-dotted, |, 	0	0	0	0	apex acute, 	247	0	base almost equally attached to petiole, unequally obtuse or acute, glabrous except for veins crisp-pubescent below; 	4921	71	0	0	0	5.5	0	0	0	0	0	508	508	Petiole |, crisp-pubescent, vaginate to apex; 	0	0	5.0	7	Stem densely crisp- pubescent. 	0	-	0			
Piper fuligineum 	fruits globose to trigonous, |, glabrous, 	4306	0	0	71	0	-	0	0	0	0	1	0	3	0	0	0	Stout herb or slender shrub, 	0	0	0	1	-	0	0	0	floral bracts ciliate and hirtellous. 	0	0	1	0	43	43	peduncle 	0	0	0	6.0	0	0	0	rachis glabrous or sparsely pubescent; 	71	0	spike |, green, not apiculate; 	616	0	782	70	Infructescence erect, 	43	0	70	0	0	0	0	0	blade |, not conspicuously glandular-dotted, yellow-green, |, 	0	0	0	2486	apex long-acuminate to obtuse, 	124	0	base equal or almost equally attached to petiole, unequally cordate, lepidote-scabrid above, lower surface and veins hirsute; 	2092	281	0	0	0	6.5	0	0	0	5167	5167	508	508	Petiole |, pubescent, vaginate at base; 	0	0	4.0	5	Stem pubescent. 	0	on edges of streams in savanna areas, in Brazil 	1200000			
Piper glabrescens 	fruits depressed globose or subtetragonous, |, glabrous, glandular, 	4306	0	0	71	0	-	0	0	0	0	1.2	0	3	0	0	0	Shrub 	0	0	0	2	-	0	0	0	floral bracts glabrous to papillate. 	0	0	71	0	43	43	peduncle |, glabrous; 	0	71	0	15.0	0	0	0	-	0	0	spike |, apiculate; 	616	0	0	60	Infructescence 	0	0	5.0	664	0	0	0	0	blade |, densely glandular-dotted, |, 	0	0	0	0	apex acuminate, 	124	0	base equal or unequally attached to petiole difference 	0	0	0	0	0.2	28	0	0	0	5167	0	508	508	Petiole |, vaginate to apex, glabrescent; 	0	0	32.0	7	Stem glabrescent. 	0	-	900000			
Piper guianense 	Fruits without style,      	0	0	0	0	0	-	0	0	0	0	0	0	3	0	0	0	Small shrub, often scrambling, rooting at lower nodes. 	0	0	0	0	-	0	0	0	floral bracts rounded to cucullate, sparsely fringed, with central dark gland; 	6274	0	0	0	43	43	peduncle filiform, |, sparsely pubescent; 	3322	386	0	30	0	0	0	-	0	0	spike |, apiculate; 	616	0	0	17.0	-	0	0	0	0	0	0	0	0	blade |, somewhat glandular-dotted below, |, 	0	0	0	0	apex acute to acuminate, 	247	0	base equal, obtuse, truncate, rounded or subacute, glabrous except sparsely minutely pubescent veins above, minutely crisp-pubescent on veins below; 	4921	71	0	0	0	3.5	0	margin ciliate towards apex, 	0	5167	5167	508	508	Petiole |, sparsely pubescent or glabrescent, vaginate to apex; 	0	0	15.0	5	Stem ribbed, glabrous, younger parts sparsely pubescent. 	0	-	0			
Piper hirtilimbum 	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	Shrub 	0	0	0	0.5	-	0	0	0	floral bracts densely marginally fringed; 	0	0	0	0	106	106	peduncle |, long-hirsute; 	0	141	0	12.0	0	0	0	rachis presumably puberulent; 	351	0	spike |, hardly apiculate; 	616	0	0	30	-	0	0	0	0	0	0	0	0	blade |, glandular-dotted, |, 	0	0	0	0	apex acuminate, 	124	0	base unequally attached to petiole difference |, rounded to subcordate, pilose above and below; 	6274	316	0	0	0.8	9.5	0	margin long-ciliate, 	0	5167	5167	508	508	Petiole |, long-hirsute, vaginate to apex (or to middle); 	0	0	30	8	Stem long-hirsute, hairs 	0	in dense forest on brown sand, 	700000			
Piper hispidum 	fruits oblongoid to rounded-trigonous, hirsute,       	4798	0	0	141	0	-	0	0	0	0	0	0	3	0	0	0	Shrub or subshrub, occasionally with scrambling branches, 	0	0	0	3	-	0	0	0	floral bracts densely marginally fringed, 	0	0	0	0	43	43	peduncle |, pubescent; 	0	386	0	10	0	0	0	-	0	0	spike |, white, cream or pale green, not apiculate; 	616	0	2415	140	Infructescence grey or grey green;      	0	853	0	0	0	0	0	0	blade |, glandular-dotted, often greyish below, |, 	0	0	0	853	apex acuminate, 	124	0	base unequally attached to petiole difference |, obliquely rounded or cuneate with one side occasionally cordulate, lepidote-scabrid above, veins hirsute on both surfaces; 	4675	281	0	0	0.6	23	0	0	0	5167	0	508	508	Petiole |, hirsute; 	0	0	10	6	Stem hirsute to glabrescent. 	0	in secondary vegetation, on creek banks in forest and in dense forest, 	700000			
Piper hostmannianum 	fruits oblongoid or trigonous, glabrous to puberulent at apex,       	4798	0	0	71	0	-	0	0	0	0	0	0	3	0	0	0	Shrub, subshrub or treelet 	0	0	0	7	-	0	0	0	floral bracts densely crowded, spirally arranged, densely marginally fringed. 	0	0	0	0	43	43	peduncle |, crisp-pubescent; 	0	386	0	15.0	0	0	0	-	0	0	spike |, white or yellow; 	0	0	2415	120	Infructescence green, 	0	782	12	0	0	0	0	0	blade not conspicuously glandular-dotted, shiny, 	0	0	0	0	apex acuminate, 	124	0	base unequally attached to petiole difference |, obtuse, rounded to subcordate, sometimes acute, glabrous above, below densely appressed pubescent on veins; 	4921	71	0	0	0.7	25	0	margin not ciliate, 	0	5167	0	0	0	petiole |, crisp-pubescent, vaginate to apex; 	0	0	10	6	Stem crisp-pubescent. 	0	-	0			
Piper humistratum 	fruits oblongoid, sunken, glabrous,       	4798	0	0	71	0	-	0	0	0	0	0	0	4	0	0	0	Creeping herb or subshrub to 	0	0	0	0.35	-	0	0	0	floral bracts glabrous, slightly cucullate. 	2215	0	71	0	43	43	peduncle |, villous; 	0	596	0	25.0	0	0	0	-	0	0	spike |, green or yellow or rosish, not apiculate; 	616	0	782	40	Infructescence occasionally pendent;      	106	0	0	0	0	0	0	0	blade discolourous, |, not conspicuously glandular-dotted, |, 	0	0	0	0	apex obtuse or acutish, 	4921	0	base unequally attached to petiole difference |, obliquely rounded, glabrous above, veins brown-villous below; 	4675	71	0	285	0.5	15	0	0	0	0	0	508	508	Petiole |, villous; 	0	0	20	5	Stem villous often with white hairs. 	0	often on rocks and in humid places in primary forest, 	800000			
Piper hymenophyllum 	Fruits obovoid to depressed globose, glabrous,      	5290	0	0	71	0	-	0	0	0	0	1	0	3	0	0	127	Scandent or creeping shrub, climbing branches rooting at nodes. 	0	0	22	0	-	0	0	0	floral bracts pubescent at base, densely marginally fringed; 	0	0	386	0	127	127	peduncle |, pubescent or glabrescent; 	0	386	0	20	0	0	0	-	0	0	spike protandrous (presenting staminate flowers first, pistillate flowers afterwards), |, green, not apiculate; 	616	0	782	35.0	-	0	0	0	0	0	0	0	0	blade not conspicuously glandular-dotted, |, subobovate or ovate, 	5167	0	0	0	apex (long-)acuminate, 	124	0	base unequally attached to petiole difference |, unequally cordate or obtuse, glabrescent but veins may be recurved-pubescent; 	2092	71	127	0	0.7	6.5	22	margin occasionally ciliate, 	0	0	0	0	0	Petiole |, pubescent, vaginate to apex; 	0	0	10	8	Stem ridged, pubescent with recurved hairs. 	0	-	0			
Piper inaequale 	fruits obovoid or slightly flattened, |, somewhat separate, glabrous or minutely papillate, 	5290	0	0	71	0	-	0	0	0	0	2	0	4	0	0	0	Shrub or treelet |, almost glabrous. 	0	71	0	3	-	0	0	0	floral bracts densely marginally fringed. 	0	0	0	0	106	106	peduncle slender, |, glabrous; 	0	71	0	25.0	0	0	0	rachis glabrous; 	71	0	spike |, not apiculate; 	616	0	0	50	Infructescence 	0	0	90	0	0	0	0	0	blade sometimes discolorous and pale brown beneath, |, not conspicuously glandular-dotted, |, 	0	0	0	285	apex acute to short-acuminate, lower half of blade asymmetrical, 	247	0	base unequally attached to petiole difference |: shorter side obtuse to abruptly acute, longer side abruptly rounded, obtuse or cordate, glabrous, except minutely pubescent veins below; 	4921	71	0	0	0.5	9.5	0	0	0	5167	0	508	508	Petiole |, vaginate and narrowly winged to apex; 	0	0	45.0	6	0	0	in forest, 	150000			
Piper insipiens 	fruits trigonous, glabrous, yellowish to green,       	0	0	0	71	2486	-	0	0	0	0	0	0	3	0	0	0	Shrub, subshrub or treelet, may be somewhat scandent, 	0	0	169	2	-	0	0	0	floral bracts triangular, densely marginally fringed. 	7135	0	0	0	43	43	peduncle slender, 	0	0	0	35.0	0	0	0	rachis papillose; 	0	0	spike |, white, yellowish or greyish-green, apiculate; 	616	0	2415	130	Infructescence green, erect or pendent;      	43	782	0	0	0	0	0	0	blade |, discolorous often drying yellowish, conspicuously dark-glandular-dotted, |, 	0	0	0	2486	apex (long-)acuminate, 	124	0	base equal or unequally attached to petiole difference |, acute, cuneate or obtusish, glabrous above, glabrous often minutely crisp-pubescent below especially on veins; 	247	71	0	0	0.5	8.5	0	0	0	0	0	196	196	Petiole |, vaginate to apex; 	0	0	25.0	6	Stem, petiole and peduncle and even primary vein below maybe reddish (brown), or yellowish, glabrous. 	0	dark, humid, primary forest or swamp forest, 	700000			
Piper marginatum 	Fruits oblongoid, glabrous,      	4798	0	0	71	0	-	0	0	0	0	0	0	3	0	0	0	Subshrub or treelet, 	0	0	0	3	-	0	0	0	floral bracts densely marginally fringed. 	0	0	0	0	127	43	peduncle |, glabrous; 	0	71	0	10	0	0	0	-	0	0	spike 	0	0	0	130	-	0	0	0	0	0	0	0	0	blade not dark glandular-dotted, 	0	0	0	0	apex (long-)acuminate, 	124	0	base equal or almost equally attached to petiole, deeply cordate, glabrescent or veins puberulent; 	2092	71	0	0	0	12	0	margin ciliate, 	0	6359	6274	0	0	Petiole vaginate to apex, |, glabrous; 	0	0	40	11	0	0	-	0			
Piper nigrispicum 	fruits trigonous or subtetragonous with narrow “collar”, glabrous, green,       	0	0	0	71	782	-	0	0	0	0	0	0	3	0	0	0	Shrub 	0	0	0	2.5	-	0	0	0	floral bracts densely marginally fringed. 	0	0	0	0	106	106	peduncle slender, |, glabrous, often reddish or violaceous; 	0	71	1705	18.0	0	0	0	-	0	0	spike |, green, yellow to reddish, apiculate; 	616	0	782	50	Infructescence pendent, green;      	106	782	0	0	0	0	0	0	blade shiny dark green above, pale below, densely black glandular-dotted, translucent dotted in vivo, 	0	0	0	782	apex acuminate, 	124	0	base equal or almost equally attached to petiole, acute or cuneate or obtusish, occasionally rough above (from scale-like emergent structures), glabrous below; 	247	71	0	0	0	15	0	0	0	5167	5167	0	0	Petiole |, glabrous, pubescent when young, vaginate at base; 	0	0	8.0	5	Stem glabrous, young ones often reddish. 	0	in forest 	700000			
Piper nigrum 	Fruits globose, |, glabrous, red or black, 	4306	0	0	71	1705	-	0	0	0	0	6	0	3	0	0	0	Shrub sometimes with scrambling branches or liana. 	0	0	0	0	-	0	0	0	floral bracts glabrous. 	0	0	71	0	106	106	peduncle 	0	0	0	25.0	0	0	0	-	0	0	spike |, apiculate or not; 	616	0	0	100	Infructescence pendent, |, more than 	106	0	5.0	664	0	0	0	0	blade |, not glandular-dotted, |, 	0	0	0	0	apex acute to short-acuminate, 	247	0	base equal or almost equally attached to petiole, subacute to obtusish, glabrous; 	247	71	0	0	0	19	0	0	0	0	0	508	508	Petiole |, glabrous, vaginate to apex; 	0	0	20	3	Stem glabrous. 	0	-	0			
Piper obliquum 	Fruits obovoid or oblongoid, sometimes flattened at apex, |, minutely pubescent or glabrous or with a few basal hairs, 	5290	0	0	386	0	-	0	0	0	0	2	0	3	0	0	0	Shrub or treelet, 	0	0	0	8	-	0	0	0	floral bracts triangular-rounded to cucullate, glabrous. 	7135	0	71	0	106	106	peduncle |, pubescent to glabrescent; 	0	386	0	50	0	0	0	rachis pubescent; 	386	0	spike |, reddish when young, apiculate; 	616	0	1705	600	-	0	0	0	0	0	0	0	0	blade |, not glandular-dotted, |, 	0	0	0	0	apex acute to acuminate, 	247	0	base unequally attached to petiole difference |, unequally lobed, basal lobes shorter or longer than petiole, occasionally overlapping the latter, glabrous above, more or less brown-pubescent below, especially on veins; 	0	71	0	285	1	60	0	0	0	5246	0	508	508	Petiole |, glabrous or densely brown-pubescent, green to brown, vaginate or winged to apex; 	0	0	70	9	Stem densely pubescent to glabrescent. 	0	in moist forest  	2000000			
Piper paramaribense 	fruits globose or obovoid, |, glabrous, green, 	4306	0	0	71	782	-	0	0	0	0	3	0	3	4552	0	43	Small shrub, sometimes trailing, 	0	0	0	1	-	0	0	0	floral bracts cucullate and pilose on inner side and at base,       	2215	0	316	0	43	43	peduncle |, glabrous or hirsute; 	0	71	0	10	0	0	0	rachis pubescent. 	386	0	spike |, yellow or green, apiculate; 	616	0	2486	40	Infructescence erect, |, green; 	43	782	70	664	0	0	0	0	blade |, glandular-dotted, |, 	0	0	0	0	apex short-acuminate, maybe somewhat obtuse, 	124	0	base equal or unequally attached to petiole difference at most |, cuneate to obtusish, rounded or subcordate, glabrous but veins appressed-pubescent below; 	2338	71	0	0	0.1	17	0	0	0	0	0	586	1	Petiole |, hirsute, vaginate to middle; 	0	0	5.0	12	Stem hirsute. 	0	-	1600000			
Piper peltatum 	Fruits trigonous, glabrous.	0	0	0	71	0	-	0	0	0	0	0	0	0	0	0	0	Large herb 	0	0	0	3	Inflorescence |, umbellate, |, sympodial branches with very short internodes, without leaves; 	0	0	0	floral bracts marginally fringed. 	0	0	0	0	43	43	common peduncle |, peduncles slender, 	0	0	0	15.0	1	1	1705	-	0	0	spikes numerous, |, each subtended by a single prophyll, densely flowered; 	0	0	1705	100	-	0	0	0	0	Internodes black glandular-dotted, more densely so on nodes. 	0	143	Leaves alternate, peltate;      	blade glandular-dotted, 	0	0	0	0	apex acute, 	247	0	base nearly rounded to usually deeply cordate, glabrous except for short hairs on veins; 	6274	71	0	0	0	30	0	0	0	5167	5167	0	0	1	0	0	200	15	0	0	-	0			
Piper perstipulare 	fruits trigonous or ovoid, glabrous, verruculose,       	5290	0	0	71	0	-	0	0	0	0	0	0	3	0	0	127	Shrub 	0	0	0	4	-	0	0	0	floral bracts subtriangular, densely marginally fringed. 	7135	0	0	0	43	43	peduncle |, glabrous; 	0	71	0	20	0	0	0	-	0	0	spike |, greenish white to white, apiculate; 	616	0	782	95.0	Infructescence 	0	0	115.0	0	0	0	0	0	blade |, densely glandular-dotted below, |, 	0	0	0	0	apex acuminate, 	124	0	base equal or unequally attached to petiole difference |, obtuse to rounded, glabrous, but veins sparsely to densely appressed or crisp-pubescent below; 	4921	71	0	0	0.3	27	0	margin ciliolate, |margin enlarged; 	0	5167	0	508	508	Petiole |, glabrous, vaginate to apex, 	0	0	45.0	7	Stem glabrous. 	0	-	1275000			
Piper phytolaccifolium 	fruits globose, |, glabrous, with persistent style, 	4306	0	0	71	0	-	0	0	0	0	1.5	0	3	0	0	0	Shrub |, glabrous. 	0	71	0	1.6	-	0	0	0	floral bracts densely marginally fringed. 	0	0	0	0	43	43	peduncle 	0	0	0	7.0	0	0	0	-	0	0	spike |, not apiculate; 	616	0	0	40	Infructescence erect to pendent, 	43	0	6.0	664	0	0	0	0	blade |, glandular-dotted to densely glandular-dotted, |, 	0	0	0	0	apex acuminate, 	124	0	base unequally attached to petiole difference |, acute, glabrous; 	247	71	0	0	0.3	16	0	0	0	5167	0	313	313	Petiole |, vaginate to middle or to apex; 	0	0	10	6	0	0	-	0			
Piper piscatorum 	fruits separate at maturity, not sulcate, globose, |, papillose at apex, glabrescent, 	4306	0	0	71	0	-	0	0	0	0	1.5	0	4	0	0	0	Subshrub, 	0	0	0	1	-	0	0	0	floral bracts cucullate, glabrous. 	2215	0	71	0	43	43	peduncle |, glabrous; 	0	71	0	5.0	0	0	0	rachis pubescent; 	386	0	spike |, green, apiculate; 	616	0	782	70	Infructescence 	0	0	60	0	upper internodes finely striate. 	0	0	0	blade |, dull green, not conspicuously glandular-dotted, |, 	0	0	0	782	apex acuminate, 	124	0	base equal or almost equally attached to petiole, subacute to obtuse or rounded, glabrous; 	247	71	0	0	0	6.5	0	0	0	5167	0	118	118	Petiole |, vaginate at base; 	0	0	20	8	Stem glabrous or glabrescent;      	0	non-flooded moist forest, or along riverbanks	660000			
Piper poiteanum 	fruits depressed globose to trigonous, |, glabrous, 	4306	0	0	71	0	-	0	0	0	0	1	664	3	0	0	0	Vine or climbing shrub 	0	0	0	8	-	0	0	0	floral bracts cucullate-inflexed, densely marginally fringed. 	2215	0	0	0	106	106	peduncle |, minutely pubescent or glabrous; 	0	386	0	15.0	0	0	0	-	0	0	spike |, yellow to green, apiculate; 	616	0	2486	165.0	Infructescence 	0	0	150	0	Upper internodes finely striate, glabrescent. 	71	0	0	blade |, not conspicuously glandular-dotted, |, 	0	0	0	0	apex acuminate, 	124	0	base equal, rounded to subcordate to deeply cordate, glabrous but veins glabrous or sparsely pubescent below; 	6274	71	0	0	0	12	0	0	0	5167	4798	313	313	Petiole |, glabrous or sparsely pubescent, vaginate to apex; 	0	0	25.0	3	0	0	in understorey of primary rainforest and from secondary vegetation	600000			
Piper pulleanum 	fruits obovoid to trigonous, papillose or hispidulous, 	5290	0	0	211	0	-	0	0	0	0	2	0	3	0	0	0	Shrub or treelet, 	0	0	0	2.5	-	0	0	0	floral bracts marginally fringed; 	0	0	0	0	43	43	peduncle |, brown crisp-pubescent; 	0	386	285	80	0	0	0	-	0	0	spike |, white to yellowish, apiculate; 	616	0	2415	80	Infructescence erect;      	43	0	0	0	0	0	0	0	blade not conspicuously glandular-dotted, often drying dull greyish green, 	0	0	0	853	apex acuminate, 	124	0	base unequally attached to petiole difference |, obtuse to subcordate, almost glabrous above, veins may be somewhat appressed-pubescent, appressed-pubescent below especially on veins; 	4921	71	0	0	0.3	25	0	0	0	5167	5167	508	508	Petiole |, densely brown-pubescent; 	0	0	7.0	4	Stem densely retrorsely crisp-pubescent. 	0	-	260000			
Piper remotinervium 	Fruits trigonous, somewhat exserted when mature, hirsute,      	0	0	0	141	0	-	0	0	0	0	0	0	stigmas sessile.	0	0	0	Shrub or treelet, 	0	0	0	3.5	-	0	0	0	floral bracts densely marginally fringed. 	0	0	0	0	43	43	peduncle |, pubescent; 	0	386	0	20	0	0	0	-	0	0	spike |, creamish white to green, hardly apiculate; 	616	0	498	200	-	0	0	0	0	0	0	0	0	blade |, not conspicuously glandular-dotted, |, 	0	0	0	0	apex acuminate, 	124	0	base equal or unequally attached to petiole difference |, subcordate or obtusish, pubescent on both surfaces, veins more densely so; 	2092	386	0	0	0.3	30	0	0	0	5167	5167	508	508	Petiole |, densely pubescent; 	0	0	20	7	Stem and branches sparsely to densely pubescent. 	0	in (dense) forest, 	300000			
Piper reticulatum 	Fruits greenish white, obovoid or oblongoid, |, puberulous, with glabrous disc at apex, separate at maturity, 	5290	0	0	351	782	-	0	0	0	0	1.5	0	3	0	0	0	Treelet or shrub, sometimes scandent, |, tall. 	0	0	169	10000	-	0	0	0	floral bracts glabrous or sparsely puberulous. 	0	0	71	0	43	43	peduncle |, glabrous or minutely puberulous; 	0	71	0	20	0	0	0	rachis glabrous; 	71	0	spike |, white or greyish, not aciculate; 	0	0	2415	120	-	0	0	0	0	0	0	0	0	blade |, not glandular-dotted, |, 	0	0	0	0	apex acute or acuminate, 	247	0	base equal, obtuse or rounded; 	4921	0	0	0	0	30	0	0	0	5167	5167	313	313	Petiole |, glabrous, vaginate at base; 	0	0	120	7	Stem often with spines opposite petiole;      |, nodes glandular-dotted. 	0	recorded mainly from secondary vegetation, 	450000			
Piper rudgeanum 	fruits ovoid, |, glabrous, with persistent short style, 	5290	0	0	71	0	-	0	0	0	0	2	0	4	0	0	127	Shrub. 	0	0	0	0	-	0	0	0	floral bracts pilose on inner side and at base. 	0	0	316	0	106	106	peduncle rather stout, |, glabrous; 	0	71	0	7.0	0	0	0	-	0	0	spike |, not apiculate; 	616	0	0	10	Infructescence recurved, 	127	0	3.0	664	0	0	0	0	blade |, densely glandular-dotted on both surfaces, |, 	0	0	0	0	apex acuminate, 	124	0	base almost equal, acute to cuneate, glabrous; 	247	71	0	0	0	13	0	0	0	5167	5167	508	508	Petiole |, vaginate to apex; 	0	0	20	10	Stem glabrous, glandular. 	0	-	0			
Piper rupununianum 	Fruits trigonous to obpyramidal, glabrous, glandular, green,      	0	0	0	71	782	-	0	0	0	0	0	0	3	0	0	0	Shrub or tree, 	0	0	0	2	-	0	0	0	floral bracts densely marginally fringed. 	0	0	0	0	106	43	peduncle 	0	0	0	15.0	0	0	0	-	0	0	spike |, apiculate; 	616	0	0	90	-	0	0	0	0	0	0	0	0	blade not glandular-dotted, 	0	0	0	0	apex long-acuminate, 	124	0	base equal or almost equally attached to petiole, acute, glabrous; 	247	71	0	0	0	20	0	0	0	4798	0	0	0	Petiole |, glabrous, vaginate usually at base; 	0	0	6.0	4	Stem glabrous or may be sparsely appressed-pubescent. 	0	in clearings, damp places, open and mixed forest, shady rocky areas, 	1600000			
Piper salicifolium 	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	Shrub. 	0	0	0	0	-	0	0	0	floral bracts densely marginally fringed; 	0	0	0	0	0	0	peduncle 	0	0	0	10	0	0	0	-	0	0	spike 	0	0	0	40	-	0	0	0	0	0	0	0	0	blade |, conspicuously dark-glandular-dotted below, |, 	0	0	0	0	apex long-acuminate, 	124	0	base equal, obtuse or subacute, densely villous below; 	4921	596	0	0	0	7.5	0	margin ciliate, 	0	5167	0	508	508	Petiole |, villous; 	0	0	5.0	5	Stem retrorsely villous. 	0	-	0			
Piper trichoneuron 	Fruits oblongoid, glandular, hirsute,      	4798	0	0	141	0	-	0	0	0	0	0	0	3	4921	0	0	Shrub, sometimes treelet, 	0	0	0	2	-	0	0	0	floral bracts densely marginally fringed. 	0	0	0	0	43	43	peduncle |, pubescent; 	0	386	0	10	0	0	0	-	0	0	spike |, often reddish or pink, apiculate; 	616	0	1705	90	-	0	0	0	0	0	0	0	0	blade sometimes with pale band along primary vein, |, more or less orange glandular-dotted on lower surface, sometimes somewhat scabrous, |, 	0	508	0	1492	apex (long-)acuminate, 	124	0	base equal or unequally attached to petiole difference |, obtuse to rounded to subcordate occasionally cuneate, glabrous above, crisp-pubescent on veins below; 	4921	71	0	0	0.5	33	0	0	0	0	0	118	118	Petiole often stout, |, densely crisp-pubescent, vaginate to apex; 	0	0	10	7	Stem crisp-pubescent. 	0	-	0			
Piper tuberculatum 	Fruits laterally compressed, rounded, glabrous,      	6274	0	23	71	0	-	0	0	0	0	0	0	4	0	0	0	Shrub or treelet |, stem minutely hirtellous, usually somewhat tuberculate. 	742	176	0	3	-	0	0	0	floral bracts |, marginally fringed, conspicuously arranged in whorls. 	0	0	0	0	43	43	peduncle 	0	0	0	20	0	0	0	-	0	0	spike 	0	0	0	110	-	0	0	0	0	0	0	0	0	-	0	0	0	0	apex obtuse, rounded or slightly acute, 	4921	0	base unequally attached to petiole difference |, shorter side acute to obtuse, longer side rounded or cordate, glabrous or glabrescent above, minutely pubescent on veins below; 	247	71	0	0	0.7	12	0	0	0	5167	5167	0	0	Petiole tuberculate, |, minutely puberulent, glabrescent, vaginate to base of blade and extending shortly; 	742	0	7.0	10	0	0	mostly in dry areas.	0			
Piper wachenheimii 	Fruits depressed globose or obovoid, |, pubescent or hirtellous, separate from each other, 	4306	0	0	386	0	-	0	0	0	0	1	664	3	0	0	0	Small shrub or even small treelet, |, nodose in lower part. 	0	0	0	1.5	-	0	0	0	floral bracts densely marginally fringed. 	0	0	0	0	43	43	peduncle |, crisp-pubescent; 	0	386	0	5.0	0	0	0	rachis glabrous; 	71	0	spike |, reddish, pinkish or brownish, apiculate; 	616	0	1705	80	-	0	0	0	0	0	0	0	0	blade |, glandular-dotted, |, 	0	0	0	0	apex acuminate, 	124	0	base equal or almost equally attached to petiole, acute or cuneate, glabrous above, erect-pubescent below, more so on veins; 	247	71	43	0	0	15	0	0	0	4306	0	508	508	Petiole |, densely pubescent or hirsute, vaginate at base; 	0	0	5.0	5	Stem densely pubescent or hirsute, hairs often reddish brown (	0	in primary forest, and occasionally from secondary vegetation, 	600000			
